Interval start,Dispostivos Medicos,DICOM,Trafego UDP,UDP,TCP
0,64225,282255.5,49603750.5,49662283,282255.5
1,56116.5,229981,50287157,50344186,229981
2,54129.5,260961,50311659,50365184.5,260961
3,97307.5,194427,50093641,50161174,194427
4,62418.5,217772,50529177,50588203,217772
5,70096,236470.5,50293157.5,50361189.5,236470.5
6,64011,267642.5,50535177.5,50593704,267642.5
7,57284.5,391513.5,50069639,50127167.5,391513.5
8,60956,300160.5,50710692,50769220,300160.5
9,113734,198809,50438669.5,50512204,198809
10,53255,224020.5,50414167.5,50461690,224020.5
11,56019.5,137090,50232652.5,50293181,137090
12,53467,192488,50644186.5,50691713,192488
13,83212,273386.5,49996883,50068168,273386.5
14,49882,365268.5,50474672.5,50528199,365268.5
15,99528,484837.5,50160146.5,50235183.5,484837.5
16,63491.5,344262.5,50081640,50145667.5,344262.5
17,58643.5,281325.5,49373881.5,49430309,281325.5
18,71657.5,150332.5,49954579.5,50016662,150332.5
19,55086,241950,50892207,50941736.5,241950
20,49538.5,278890.5,50166147,50219674,278890.5
21,105563.5,373921,50390165.5,50465698,373921
22,51256,379088,50087640.5,50139164.5,379088
23,48042,323161,50371664,50417690,323161
24,77055,305920.5,50444670,50503699.5,305920.5
25,63984,286341,50692690.5,50750722,286341
26,55657,298718.5,50232652.5,50286177.5,298718.5
27,100716.5,274684.5,49621902,49680884.5,274684.5
28,66771.5,217355,50638186,50699213,217355
29,79761,211891.5,49942478.5,50014161,211891.5
30,69013,305087.5,50117643,50165170,305087.5
31,74537.5,168502,50202650,50265182.5,168502
32,74671,112551.5,50861704.5,50928235,112551.5
33,121469,267065.5,50353662.5,50450205,267065.5
34,68475,143819.5,51025218,51094245,143819.5
35,60059,87580,41111648.5,41175526,87580
36,57331.5,81211,50160146.5,50211673.5,81211
37,70496,273651,51037219,51102250.5,273651
38,53778.5,273042,50396166,50453693,273042
39,119793.5,125922,50880206,50973745,125922
40,72140,130096,50426168.5,50486695.5,130096
41,59646,358418.5,50371664,50435194.5,358418.5
42,60237,557253,50595682.5,50650211,557253
43,63085,384983,50002933.5,50060162,384983
44,57729.5,291652,50238653,50294178.5,291652
45,108421,402184.5,50039136.5,50099669.5,402184.5
46,52489,418840,50438669.5,50491194.5,418840
47,58467.5,280892.5,50317659.5,50379687.5,280892.5
48,83113,199794.5,50269155.5,50328186.5,199794.5
49,62750,241229,50958712.5,51016242.5,241229
50,45322,261634,50535177.5,50584204,261634
51,156370.5,408722,49621902,49737398.5,408722
52,56602,447392.5,50244653.5,50295679,447392.5
53,55188.5,520022.5,49349729.5,49408708.5,520022.5
54,64517.5,316094.5,49918276.5,49971055,316094.5
55,58003.5,213445.5,49664255.5,49722633,213445.5
56,59211,188026,50904208,50955235,188026
57,130877,217507.5,50589682,50682223.5,217507.5
58,72863,285595.5,50124143.5,50191174,285595.5
59,65039,317465,50880206,50942737,317465
60,70046,359476.5,50795199,50859728.5,359476.5
61,59180,404491.5,49513043,49566520.5,404491.5
62,48745,217147,50172147.5,50218672.5,217147
63,137155,149828,50021135,50114174,149828
64,54097.5,292261,50111642.5,50164167.5,292261
65,45876.5,218301,50662188,50711717,218301
66,117303,389759,49990832.5,50084169.5,389759
67,69895.5,256178,45944398,46008629,256178
68,57179,303981.5,49912226,49967153,303981.5
69,195223,365661,50589682,50678220,365661
70,52249.5,256835,50716692.5,50769217.5,256835
71,57093.5,279707.5,50892207,50952737,279707.5
72,70022.5,224701,49513043,49576072.5,224701
73,73377,124977,50184648.5,50252181,124977
74,62834.5,125009,51091723.5,51146249.5,125009
75,91845,248631.5,50353662.5,50413196.5,248631.5
76,41949.5,211980,50281156.5,50313677,211980
77,63183.5,150501,51545261,51594291.5,150501
78,102025.5,249496.5,50577681,50649712,249496.5
79,46098.5,286653.5,50704691.5,50751218,286653.5
80,38638.5,309173,50855704,50898227,309173
81,104062,347651.5,50753195.5,50814729.5,347651.5
82,38055,305039.5,50105642,50144165,305039.5
83,51803,317609,50565680,50615207,317609
84,67096.5,398955.5,50559179.5,50596701.5,398955.5
85,61650,257396,50220651.5,50264676,257396
86,42000.5,217820,51134227,51173751.5,217820
87,95740.5,87628,50341661.5,50405194.5,87628
88,46256.5,204240.5,50202650,50243174,204240.5
89,81850,137450.5,51527259.5,51588792,137450.5
90,145189,224357.5,50529177,50602208,224357.5
91,59309,267378,50589682,50643210.5,267378
92,55168.5,200203,50619684.5,50673209.5,200203
93,158291.5,211715.5,49942478.5,50030166,211715.5
94,74773.5,266513,50861704.5,50937234.5,266513
95,61407,392259,50456671,50517702,392259
96,86991,318282,50190649,50253678,318282
97,70101.5,205346.5,49857771.5,49922200.5,205346.5
98,55627,292373,49857771.5,49917199,292373
99,109243.5,267955,50117643,50175174,267955
100,66475,304102,50166147,50230673.5,304102
101,53243,161412,50722693,50773720,161412
102,84343.5,229933,50486673.5,50565704.5,229933
103,59476.5,223516,50511175.5,50559203.5,223516
104,46191.5,353155.5,51000716,51045240,353155.5
105,80358.5,382220.5,50257154.5,50291181,382220.5
106,79238.5,317777.5,50861704.5,50935234.5,317777.5
107,68281.5,304983,50759196,50825229.5,304983
108,84756.5,397522,50855704,50910730,397522
109,70464,236815,50704691.5,50775223.5,236815
110,52065.5,366806.5,50190649,50246174.5,366806.5
111,98532,237824,50208650.5,50274683.5,237824
112,79664,236206,50734694,50809226,236206
113,74642,242294.5,51061221,51139755.5,242294.5
114,104756,408986.5,49785215.5,49878250.5,408986.5
115,80026.5,357233,50517176,50597710.5,357233
116,48464.5,291772.5,50916209,50968734,291772.5
117,116864,348813,50002933.5,50064668.5,348813
118,73742,353227,49718660,49787140,353227
119,13816,38430.5,7717888,7731495.5,38430.5
